#options: 960x540 fps=30000/1001 timebase=1001/30000 bitdepth=8 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=12 lookahead_threads=4 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=1 b_bias=0 direct=1 weightb=1 open_gop=0 weightp=2 keyint=250 keyint_min=25 scenecut=40 intra_refresh=0 rc_lookahead=40 rc=abr mbtree=1 bitrate=1000 ratetol=1.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 ip_ratio=1.41 aq=1:1.00
in:34 out:34 type:B dur:2 cpbdur:2 q:24.66 aq:20.33 tex:30531 mv:9913 misc:1836 imb:118 pmb:1246 smb:676 d:- ref:0 ;
in:33 out:35 type:b dur:2 cpbdur:2 q:24.51 aq:20.15 tex:15315 mv:6925 misc:1912 imb:95 pmb:919 smb:1026 d:- ref:0 ;
in:35 out:36 type:b dur:2 cpbdur:2 q:24.82 aq:20.29 tex:13360 mv:5335 misc:1833 imb:96 pmb:695 smb:1249 d:- ref:0 ;
in:40 out:37 type:P dur:2 cpbdur:2 q:25.78 aq:20.39 tex:79143 mv:11328 misc:1185 imb:340 pmb:1327 smb:373 d:- ref:0 ;
in:38 out:38 type:B dur:2 cpbdur:2 q:25.38 aq:21.19 tex:25326 mv:10296 misc:1898 imb:119 pmb:1197 smb:724 d:- ref:0 ;
in:37 out:39 type:b dur:2 cpbdur:2 q:25.17 aq:21.04 tex:13756 mv:7595 misc:2017 imb:80 pmb:904 smb:1056 d:- ref:0 ;
in:39 out:40 type:b dur:2 cpbdur:2 q:25.58 aq:21.23 tex:11577 mv:5817 misc:1878 imb:89 pmb:757 smb:1194 d:- ref:0 ;
in:44 out:41 type:P dur:2 cpbdur:2 q:26.56 aq:20.78 tex:78110 mv:12461 misc:1085 imb:472 pmb:1237 smb:331 d:- ref:0 ;
in:42 out:42 type:B dur:2 cpbdur:2 q:26.17 aq:21.68 tex:16192 mv:8318 misc:2034 imb:90 pmb:970 smb:980 d:- ref:0 ;
in:41 out:43 type:b dur:2 cpbdur:2 q:25.98 aq:21.77 tex:9143 mv:4849 misc:1920 imb:61 pmb:683 smb:1296 d:- ref:0 ;
in:43 out:44 type:b dur:2 cpbdur:2 q:26.37 aq:21.55 tex:6962 mv:4453 misc:1857 imb:55 pmb:595 smb:1390 d:- ref:0 ;
in:48 out:45 type:P dur:2 cpbdur:2 q:27.23 aq:21.10 tex:58488 mv:11218 misc:1326 imb:461 pmb:1224 smb:355 d:- ref:0 w:7,127,-1 ;
in:46 out:46 type:B dur:2 cpbdur:2 q:26.89 aq:22.40 tex:14676 mv:9480 misc:2020 imb:138 pmb:986 smb:916 d:- ref:0 ;
in:45 out:47 type:b dur:2 cpbdur:2 q:26.73 aq:22.04 tex:5887 mv:3614 misc:1811 imb:47 pmb:529 smb:1464 d:- ref:0 ;
in:47 out:48 type:b dur:2 cpbdur:2 q:27.06 aq:22.21 tex:8002 mv:7339 misc:2035 imb:133 pmb:786 smb:1121 d:- ref:0 ;
in:52 out:49 type:P dur:2 cpbdur:2 q:27.32 aq:21.83 tex:57880 mv:10149 misc:1499 imb:316 pmb:1174 smb:550 d:- ref:0 ;
in:50 out:50 type:B dur:2 cpbdur:2 q:27.27 aq:22.49 tex:10984 mv:6965 misc:2011 imb:75 pmb:865 smb:1100 d:- ref:0 ;
in:49 out:51 type:b dur:2 cpbdur:2 q:27.25 aq:22.34 tex:5283 mv:3710 misc:1687 imb:40 pmb:494 smb:1506 d:- ref:0 ;
in:51 out:52 type:b dur:2 cpbdur:2 q:27.29 aq:22.14 tex:4654 mv:2798 misc:1644 imb:45 pmb:448 smb:1547 d:- ref:0 ;
in:56 out:53 type:P dur:2 cpbdur:2 q:27.38 aq:21.54 tex:61066 mv:10752 misc:1542 imb:303 pmb:1168 smb:569 d:- ref:0 ;
in:54 out:54 type:B dur:2 cpbdur:2 q:27.35 aq:22.65 tex:10881 mv:7198 misc:2001 imb:73 pmb:800 smb:1167 d:- ref:0 ;
in:53 out:55 type:b dur:2 cpbdur:2 q:27.33 aq:22.33 tex:5132 mv:4312 misc:1820 imb:47 pmb:558 smb:1435 d:- ref:0 ;
in:55 out:56 type:b dur:2 cpbdur:2 q:27.37 aq:22.67 tex:5725 mv:4369 misc:1794 imb:39 pmb:526 smb:1475 d:- ref:0 ;
in:60 out:57 type:P dur:2 cpbdur:2 q:27.20 aq:21.61 tex:79192 mv:10124 misc:1380 imb:302 pmb:1262 smb:476 d:- ref:0 ;
in:58 out:58 type:B dur:2 cpbdur:2 q:27.29 aq:22.45 tex:11159 mv:6078 misc:1971 imb:58 pmb:803 smb:1179 d:- ref:0 ;
in:57 out:59 type:b dur:2 cpbdur:2 q:27.34 aq:22.27 tex:4482 mv:3131 misc:1643 imb:38 pmb:451 smb:1551 d:- ref:0 ;
in:59 out:60 type:b dur:2 cpbdur:2 q:27.25 aq:22.47 tex:5413 mv:2786 misc:1665 imb:38 pmb:488 smb:1514 d:- ref:0 ;
in:64 out:61 type:P dur:2 cpbdur:2 q:27.10 aq:21.30 tex:65234 mv:9536 misc:1502 imb:279 pmb:1226 smb:535 d:- ref:0 ;
in:62 out:62 type:B dur:2 cpbdur:2 q:27.15 aq:21.90 tex:8327 mv:5937 misc:2048 imb:76 pmb:740 smb:1224 d:- ref:0 ;
in:61 out:63 type:b dur:2 cpbdur:2 q:27.18 aq:22.61 tex:4439 mv:3136 misc:1609 imb:43 pmb:446 smb:1551 d:- ref:0 ;
in:63 out:64 type:b dur:2 cpbdur:2 q:27.13 aq:22.36 tex:5285 mv:3149 misc:1750 imb:54 pmb:474 smb:1512 d:- ref:0 ;
in:68 out:65 type:P dur:2 cpbdur:2 q:26.93 aq:21.01 tex:59791 mv:8375 misc:1554 imb:259 pmb:1185 smb:596 d:- ref:0 ;
in:66 out:66 type:B dur:2 cpbdur:2 q:27.02 aq:21.91 tex:7731 mv:4967 misc:1958 imb:64 pmb:688 smb:1288 d:- ref:0 ;
in:65 out:67 type:b dur:2 cpbdur:2 q:27.06 aq:22.12 tex:4163 mv:2106 misc:1515 imb:30 pmb:389 smb:1621 d:- ref:0 ;
in:67 out:68 type:b dur:2 cpbdur:2 q:26.97 aq:22.19 tex:4589 mv:2727 misc:1620 imb:48 pmb:438 smb:1554 d:- ref:0 ;
in:72 out:69 type:P dur:2 cpbdur:2 q:26.90 aq:21.40 tex:71347 mv:11533 misc:1336 imb:333 pmb:1280 smb:427 d:- ref:0 ;
